model,horizon,n,n_up_days,n_down_days,diracc_overall,diracc_up_days,diracc_down_days,balanced_diracc
baseline,t+1,939,512,426,0.5420660276890309,0.974609375,0.023474178403755867,0.49904177670187794
baseline,t+3,939,521,418,0.5228966986155484,0.5777351247600768,0.45454545454545453,0.5161402896527657
baseline,t+5,939,547,392,0.5527156549520766,0.8098720292504571,0.19387755102040816,0.5018747901354326
mohamed_v1,t+1,939,512,426,0.49627263045793396,0.56640625,0.4131455399061033,0.4897758949530516
mohamed_v1,t+3,939,521,418,0.56975505857295,0.927063339731286,0.12440191387559808,0.525732626803442
mohamed_v1,t+5,939,547,392,0.5814696485623003,0.8793418647166362,0.16581632653061223,0.5225790956236243
mohamed_v2_reg,t+1,939,512,426,0.516506922257721,0.439453125,0.6103286384976526,0.5248908817488263
mohamed_v2_reg,t+3,939,521,418,0.4504792332268371,0.02495201535508637,0.9808612440191388,0.5029066296871125
mohamed_v2_reg,t+5,939,547,392,0.582534611288605,0.8647166361974405,0.18877551020408162,0.5267460732007611
mohamed_v3_reg,t+1,939,512,426,0.5271565495207667,0.79296875,0.20892018779342722,0.5009444688967136
mohamed_v3_reg,t+3,939,521,418,0.4643237486687966,0.1708253358925144,0.8301435406698564,0.5004844382811854
mohamed_v3_reg,t+5,939,547,392,0.4355697550585729,0.14990859232175502,0.8341836734693877,0.49204613289557136
mohamed_v3_cls,t+1,939,512,426,0.5452609158679447,1.0,0.0,0.5
mohamed_v3_cls,t+3,939,521,418,0.5548455804046858,1.0,0.0,0.5
mohamed_v3_cls,t+5,939,547,392,0.4174653887113951,0.0,1.0,0.5
